number,pokemon_name,main_type,secondary_type,region,attack,defense,capture_rate,resistance,weakness,poss_attacks
001,Bulbasaur,Grass,Poison,Kanto,118,111,20%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Tackle', 'Vine Whip', 'Power Whip', 'Seed Bomb', 'Sludge Bomb']"
002,Ivysaur,Grass,Poison,Kanto,151,143,10%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Razor Leaf', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Solar Beam']"
003,Venusaur,Grass,Poison,Kanto,198,189,5%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}","['Razor Leaf', 'Vine Whip', 'Petal Blizzard', 'Sludge Bomb', 'Solar Beam', 'Frenzy Plant']"
004,Charmander,Fire,,Kanto,116,93,20%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Scratch', 'Flame Burst', 'Flame Charge', 'Flamethrower']"
005,Charmeleon,Fire,,Kanto,158,126,10%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Fire Fang', 'Scratch', 'Fire Punch', 'Flame Burst', 'Flamethrower']"
006,Charizard,Fire,Flying,Kanto,223,173,5%,"{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}","['Air Slash', 'Fire Spin', 'Dragon Breath', 'Ember', 'Wing Attack', 'Dragon Claw', 'Fire Blast', 'Overheat', 'Blast Burn', 'Flamethrower']"
007,Squirtle,Water,,Kanto,94,121,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Tackle', 'Aqua Jet', 'Aqua Tail', 'Water Pulse']"
008,Wartortle,Water,,Kanto,126,155,10%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bite', 'Water Gun', 'Aqua Jet', 'Hydro Pump', 'Ice Beam']"
009,Blastoise,Water,,Kanto,171,207,5%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bite', 'Water Gun', 'Flash Cannon', 'Hydro Pump', 'Ice Beam', 'Skull Bash', 'Hydro Cannon']"
010,Caterpie,Bug,,Kanto,55,55,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}","['Bug Bite', 'Tackle', 'Struggle']"
